,Title,Publication Date
76,Home affairs under Peter Dutton was warned ‘failing’ immigration detention may have breached duty of care,2023-09-08T15:00:49Z
81,Australia’s use of hotels for immigration detention found to have ‘devastating’ health effects,2023-06-20T23:37:22Z
82,"House prices will keep rising into next year, says Domain, as immigration boosts demand",2023-06-21T15:00:42Z
87,"Change in visa rules was to apply in absence of ‘serious offending or family violence’, Andrew Giles was told",2024-05-27T15:00:28Z
89,How immigration changed Australia – an interactive journey through history,2023-01-29T14:00:53Z
90,Aneeta’s violent husband tried to sabotage her Australian visa application. She’s one of hundreds to secure one anyway,2024-07-07T00:00:51Z
91,Neo-Nazis clash with police and counter-protesters at anti-immigration rally in Melbourne,2023-05-13T06:22:35Z
100,New Zealanders to gain faster pathway to Australian citizenship under major changes to immigration rules,2023-04-21T12:30:40Z
102,Strict new rules come into force at US-Mexico border as Title 42 immigration ban expires,2023-05-12T04:18:57Z
104,Top public servant apologises for ‘significant’ error in Australia’s offshore immigration processing,2023-02-13T08:11:03Z
108,Clare O’Neil won’t rule out international student cap as part of visa crackdown,2023-12-11T05:47:12Z
109,David Pocock blasts Albanese government as it reauthorises Nauru offshore immigration detention,2023-02-07T07:44:44Z
115,"Why is Labor defending Alex Hawke’s ‘bizarre’, ‘steering wheel’ visa decision in the high court? | Paul Karp",2023-10-29T14:00:48Z
120,"Electronic monitoring in community could reduce immigration detention, document states",2022-11-21T14:00:23Z
123,"The Crunch: migration hits record high, bird flu takes flight and kicking goals with AFL mullets",2024-05-30T01:56:14Z
124,Legal challenge to Australia’s indefinite immigration detention could determine freedom of hundreds ,2022-12-29T14:00:22Z
125,Labor condemned for ‘abhorrently cruel’ decision to put 100 people back in immigration detention,2023-02-08T14:00:20Z
129,Surge in Palestinians applying for protection while in Australia prompts calls to create ‘emergency uplift’ visa,2024-07-01T15:00:22Z
132,"Immigration detainee not given new food because maggots ‘just on the vegetables’, report finds",2023-01-23T14:00:08Z
134,"Migration rose by one-third last year to lift Australia’s population by a record 659,000",2024-03-21T06:36:29Z
137,Labor’s deportation bill could be used to blacklist entire countries’ citizens from obtaining visas to Australia,2024-03-27T14:00:27Z
138,Refugee charged with breaching curfew launches high court challenge to released detainees’ visa conditions,2024-02-28T04:33:23Z
139,Living in a tent: the Melbourne family left homeless after a visa processing bungle,2024-06-01T20:00:14Z
141,‘All I know is Australia’: Indigenous man left in immigration detention for more than three years,2023-02-18T19:00:04Z
148,Up to 100 people released from immigration detention after Australian government loses court case,2022-12-28T14:00:53Z
149,Labor reverses course on ministerial ruling that saw criminals given visas,2024-05-29T06:31:53Z
151,"Map reveals Australian hotels used for immigration detention, but secrecy means it’s incomplete",2022-12-01T14:00:49Z
157,‘Never given a chance’: freed asylum seekers lament lost decade in immigration detention,2022-11-20T14:00:28Z
169,"Australia loves prisons! Just ask the 1,400 people locked up in immigration detention | First Dog on the Moon",2022-10-24T06:13:20Z
176,Palestinians were refused Australian visitor visas due to concerns they would not ‘stay temporarily’,2024-04-16T02:18:05Z
