post_content,hashtags,user_mentions,datetime,sentiment_scores,sentiment,topic
Congratulations!!!AASHISH CHOUDHARY on Successful Grant of #StudentVisa500 Thank you for choosing @isamigrationsCall us today to check your eligibility for,"StudentVisa500, studentvisa, visa, Migration, immigration, studentvisa, Australia, visitor",@isamigrationsCall,2022-06-08T04:59:22.000Z,0.865,positive,"congratulations aashish choudhary, successful grant"
CongratulationsPENZY & PARAMVEER SINGH on Successful Grants of Onshore #StudentVisa500Thank you for choosing @isamigrationsCall us today to check your eligibility for,"StudentVisa500Thank, Studentvisa+61, education, student, migration, consultant, immigration, Australia",@isamigrationsCall,2021-12-15T07:05:45.000Z,0.6908,neutral,"congratulationspenzy paramveer singh, successful grants, onshore studentvisa500thank"
Congratulations!!!JENIFER BITANG DIOLA on Successful Grant of Onshore #StudentVisa500 Thank you for choosing @isamigrationsCall us today to check your eligibility for,"StudentVisa500, Studentvisa, visa, Migration, immigration, Australia, education",@isamigrationsCall,2022-05-09T09:50:48.000Z,0.865,positive,"congratulations jenifer bitang diola, successful grant, onshore studentvisa500"
"We are happy to share with you the success of our client, Ms. Renju Rajan Nair who got her #Australianomination as a Retail Pharmacist under #subclass190 visa! Team #CanApprove wishes you the best in your future endeavors, Ms. Renju!","Australianomination, subclass190, CanApprove, australiaimmigration, migratetoaustralia",,2023-09-23T05:17:38.000Z,0.9431,positive,"client ms renju rajan nair, retail pharmacist, subclass190 visa team canapprove wishes, future endeavors ms renju"
The time spent in the office is over...IGP Office by Zoom - 24/7,"australiastudyvisa, schoolvisa, visitorvisa, ieltspreparation, australiamigration, australia, australiaimmigration, australiaimmigrationconsultant, srilankaaust, gogotago, studyabroad",,2023-06-30T05:40:33.000Z,0.0,neutral,igp office
We are immensely happy to share the success of Mr. Praveen Jayachandran and Family in acquiring Australia PR Visa of subclass 491 in the Occupational Therapist category.,"australiaimmigration, australiaprvisa, sydney, occupationaltherapist, family, immigrationconsultant",,2023-06-15T05:33:24.000Z,0.8625,positive,"mr praveen jayachandran, australia pr visa, occupational therapist category"
"Turn Your Dreams into Reality with Star Global Alliance! Explore top destinations like Australia, UK, New Zealand, USA, and Canada.","StarGlobalAlliance, Immigration, VisaConsultants, SettleAbroad, VisaSuccess, AustraliaVisa, UKVisa, USVisa, NZVisa, CanadaVisa, Visa, Dream",,2024-06-25T12:37:47.000Z,0.7424,positive,"global alliance explore top destinations, australia uk, new zealand usa"
"Are you eyeing a career move to Australia? The 482 visa is a golden ticket for many, but be mindful of the restrictions.Learn more:","Australia, AustraliaVisa, 482Visa, WeAreAirswift",,2023-11-20T14:47:21.000Z,0.0,neutral,golden ticket
"Visualize Your Dreams In Australia Today, Embrace a New Beginning!Make Australia Your New Home! Talk to Our Experts NOW!!","AustraliaVisaSpecialist#nexusmigration#AustraliaMigration, MoveToAustralia, AustraliaVisa, ImmigrationExperts, DreamsOfAustralia",,2024-06-21T16:00:00.000Z,0.7326,positive,"new beginning, new home talk"
"Figures above are for  holders who remain in #Australia. 36% of past & current 485 holders could secure full time jobs in their field of study in Australia, as compared to 49% for those who return to their home countries","temporarygraduate, 485visa, Australia., intled, internationalstudents",,2019-08-06T02:15:44.000Z,0.34,neutral,"full time jobs, home countries"
"The major reason Australians delay family formation is due to financial concerns, data shows.Decades of mass immigration has made people poorer: low wages, and high house prices.Mass immigration doesn't stop demographic decline, it accelerates it.End it, or it'll end us.",,,2024-06-26T23:22:42.000Z,-0.6458,negative,"major reason australians delay family formation, data shows decades, mass immigration, people poorer, low wages, high house prices mass immigration doesn, demographic decline, ll end"
An absolute tragedy. Australians will keep getting poorer because the government refuses to address the elephant in the room.,,,2024-06-26T07:20:55.000Z,-0.7845,negative,"absolute tragedy australians, government refuses"
myVEVO app - new updates are coming soon,"australia, immigration",,2024-06-24T01:25:59.000Z,0.0,neutral,"myvevo app, new updates"
"Hey, can anyone answer this real quick?",,,2024-06-22T04:55:55.000Z,0.0,neutral,
Baby crisis threatens global economy as birth rate declines,"australia, immigration",,2024-06-21T01:45:22.000Z,-0.7717,negative,"baby crisis threatens, global economy, birth rate"
Longer visitor visa for people from Southeast Asia (ASEAN) countries,"australia, immigration",,2024-07-02T01:43:59.000Z,0.0,neutral,"visitor visa, asia asean countries"
"A #career you will fall in love withStart your  & create a #successful career in Australia.For more information, Kindly #contact us!!","career, cookery, course, successful, contact, Visa, Dependent, Immigration, extension, immigrationpolicy, TR, visaqueries, Immigrant, Masters, Diploma, Australia",,2020-12-10T06:30:00.000Z,0.9344,positive,successful career
sir people send their children for study in Australia by taking bank loans Australia changes immigrAtionpolicy,,"@narendramodi, @PMOIndia",2014-11-06T03:38:58.000Z,0.0,neutral,"sir people, bank loans australia changes immigrationpolicy"
Canada to announce first-ever cap on temporary residents,"CanadaImmigration, TemporaryResidents, ImmigrationPolicy, TemporaryResidenceCap, YAxisAssistance, InternationalStudents, WorkPermit, StudyPermit",,2024-03-22T10:27:43.000Z,0.0,neutral,temporary residents
Key Changes in  for 2023-24:1. Increased salary threshold for sponsored  eligibility for all skilled temporary workers.3. Introduction of a three-tiered immigration system.4. #Immediategraduatevisa for international students.,"Australia's, ImmigrationPolicy, immigrants.2., PR, Immediategraduatevisa",,2023-05-06T13:08:51.000Z,0.2732,neutral,"key changes, salary threshold, skilled temporary workers, immigration system, international students"
Australia plans steep cut in migrant intake; implements tougher testsRead more-,AustraliaMigration#MigrantIntake#ImmigrationPolicy#TougherTests#AustralianVisas#MigrationChanges#ImmigrationReform#VisaRequirements#MigrationCuts,,2023-12-12T17:03:15.000Z,-0.1027,negative,"australia plans, migrant intake implements"
Congratulations on securing your Temporary Graduate (Subclass 485) Post-Study Work visa!,"PostStudyWork, CareerGoals, AustralianDream, australia, melbourne, visaupdate, visasuccess, migrationagent, subclass485visa, amecacemigration, acemigrationandeducationconsultants",,2024-05-06T04:22:47.000Z,0.7574,positive,"temporary graduate subclass, post study work visa"
"On this recent public holiday, the government announced some major updates to be implemented on July 1st, 2024.","melbourne, migrationagent, newupdate, visaupdate, australia, amecacemigration, acemigrationandeducationconsultants",,2024-04-25T07:13:13.000Z,0.4019,neutral,"recent public holiday, major updates"
"Important Update: From July 1st, 2024 Visitor and Temporary Graduate visa holders in Australia can't apply for student visas onshore ..Call us for details: ..","VisaUpdate, ImmigrationNews, VisaChanges, ImmigrationUpdates, AustraliaImmigration",,2024-06-13T08:18:24.000Z,0.2023,neutral,"important update, temporary graduate visa holders, student visas onshore"
